Rendering img with focal point Complex { re: -0.15791999999999157, im: -1.038959999999998 } [x_range: (-1, 1), y_range: (-1.01, 0.99)]
[Complex { re: 0.8999999999999999, im: -0.99 }] iterations: 4 | acc: 917.6499394831701 | ?: false
[Complex { re: 0.9199999999999999, im: -0.99 }] iterations: 4 | acc: 1125.6894492466329 | ?: false
[Complex { re: 0.94, im: -0.99 }] iterations: 4 | acc: 1361.3117782035856 | ?: false
[Complex { re: 0.96, im: -0.99 }] iterations: 4 | acc: 1625.2212278664338 | ?: false
[Complex { re: 0.98, im: -0.99 }] iterations: 4 | acc: 1917.5027155278294 | ?: false
[Complex { re: -1.0, im: -0.97 }] iterations: 5 | acc: 969.2920180760815 | ?: false
[Complex { re: -0.98, im: -0.97 }] iterations: 5 | acc: 512.8343948276167 | ?: false
[Complex { re: -0.96, im: -0.97 }] iterations: 5 | acc: 135.66710957466154 | ?: false
[Complex { re: -0.94, im: -0.97 }] iterations: 5 | acc: 170.97195299662155 | ?: false
[Complex { re: -0.92, im: -0.97 }] iterations: 5 | acc: 352.2703491385819 | ?: false
[Complex { re: -0.9, im: -0.97 }] iterations: 5 | acc: 442.60694056710327 | ?: false
[Complex { re: -0.88, im: -0.97 }] iterations: 5 | acc: 458.40014711760296 | ?: false
[Complex { re: -0.86, im: -0.97 }] iterations: 5 | acc: 419.51037715565417 | ?: false
[Complex { re: -0.84, im: -0.97 }] iterations: 5 | acc: 346.126190906499 | ?: false
[Complex { re: -0.8200000000000001, im: -0.97 }] iterations: 5 | acc: 256.4682108358681 | ?: false
[Complex { re: -0.8, im: -0.97 }] iterations: 5 | acc: 165.33533199054642 | ?: false
[Complex { re: -0.78, im: -0.97 }] iterations: 6 | acc: 117598.67581455344 | ?: false
[Complex { re: -0.76, im: -0.97 }] iterations: 6 | acc: 116846.2989069459 | ?: false
[Complex { re: -0.74, im: -0.97 }] iterations: 6 | acc: 72765.84224567305 | ?: false
[Complex { re: -0.72, im: -0.97 }] iterations: 6 | acc: 24426.854435334335 | ?: false
[Complex { re: -0.7, im: -0.97 }] iterations: 6 | acc: 7765.412326875104 | ?: false
[Complex { re: -0.6799999999999999, im: -0.97 }] iterations: 6 | acc: 19874.10189649467 | ?: false
[Complex { re: -0.6599999999999999, im: -0.97 }] iterations: 6 | acc: 17929.80596399824 | ?: false
[Complex { re: -0.64, im: -0.97 }] iterations: 6 | acc: 10162.604742653151 | ?: false
[Complex { re: -0.62, im: -0.97 }] iterations: 6 | acc: 2700.1205540463434 | ?: false
[Complex { re: -0.6, im: -0.97 }] iterations: 6 | acc: 1764.545484568541 | ?: false
[Complex { re: -0.5800000000000001, im: -0.97 }] iterations: 6 | acc: 3072.4477794987433 | ?: false
[Complex { re: -0.56, im: -0.97 }] iterations: 6 | acc: 2482.76931410486 | ?: false
[Complex { re: -0.54, im: -0.97 }] iterations: 6 | acc: 1288.5188105254695 | ?: false
[Complex { re: -0.52, im: -0.97 }] iterations: 6 | acc: 291.82439291830644 | ?: false
[Complex { re: -0.5, im: -0.97 }] iterations: 6 | acc: 257.15918941950025 | ?: false
[Complex { re: -0.48, im: -0.97 }] iterations: 6 | acc: 379.68043154869014 | ?: false
[Complex { re: -0.45999999999999996, im: -0.97 }] iterations: 6 | acc: 289.96493743666764 | ?: false
[Complex { re: -0.43999999999999995, im: -0.97 }] iterations: 6 | acc: 150.17846038753046 | ?: false
[Complex { re: -0.42000000000000004, im: -0.97 }] iterations: 7 | acc: 44086.91813976883 | ?: false
[Complex { re: -0.4, im: -0.97 }] iterations: 7 | acc: 21229.0698198608 | ?: false
[Complex { re: -0.38, im: -0.97 }] iterations: 7 | acc: 1131.022997914171 | ?: false
[Complex { re: -0.36, im: -0.97 }] iterations: 7 | acc: 2123.1746879379853 | ?: false
[Complex { re: -0.33999999999999997, im: -0.97 }] iterations: 7 | acc: 842.8311047152058 | ?: false
[Complex { re: -0.31999999999999995, im: -0.97 }] iterations: 7 | acc: 89.5126953534027 | ?: false
[Complex { re: -0.30000000000000004, im: -0.97 }] iterations: 8 | acc: 18709.221976521618 | ?: false
[Complex { re: -0.28, im: -0.97 }] iterations: 8 | acc: 5015.399163037426 | ?: false
[Complex { re: -0.26, im: -0.97 }] iterations: 8 | acc: 365.27007658448093 | ?: false
[Complex { re: -0.24, im: -0.97 }] iterations: 9 | acc: 27238.053200213457 | ?: false
[Complex { re: -0.21999999999999997, im: -0.97 }] iterations: 9 | acc: 1026.9499310362144 | ?: false
[Complex { re: -0.19999999999999996, im: -0.97 }] iterations: 9 | acc: 55.59268084865468 | ?: false
[Complex { re: -0.18000000000000005, im: -0.97 }] iterations: 10 | acc: 78.87914803702937 | ?: false
[Complex { re: -0.16000000000000003, im: -0.97 }] iterations: 12 | acc: 61908.365523348184 | ?: false
[Complex { re: -0.14, im: -0.97 }] iterations: 14 | acc: 422.18202952933007 | ?: false
[Complex { re: -0.12, im: -0.97 }] iterations: 20 | acc: 0.7133698300709943 | ?: true
[Complex { re: -0.09999999999999998, im: -0.97 }] iterations: 16 | acc: 892.2458192424898 | ?: false
[Complex { re: -0.07999999999999996, im: -0.97 }] iterations: 20 | acc: 0.42494322548136865 | ?: true
[Complex { re: -0.06000000000000005, im: -0.97 }] iterations: 16 | acc: 11188.978552080911 | ?: false
[Complex { re: -0.040000000000000036, im: -0.97 }] iterations: 13 | acc: 213.36639658635127 | ?: false
[Complex { re: -0.020000000000000018, im: -0.97 }] iterations: 11 | acc: 8135.060227663597 | ?: false
[Complex { re: 0.0, im: -0.97 }] iterations: 9 | acc: 432.44471312034227 | ?: false
[Complex { re: 0.020000000000000018, im: -0.97 }] iterations: 8 | acc: 166.51843007635983 | ?: false
[Complex { re: 0.040000000000000036, im: -0.97 }] iterations: 8 | acc: 4481.047671437639 | ?: false
[Complex { re: 0.06000000000000005, im: -0.97 }] iterations: 8 | acc: 722701.9679898422 | ?: false
[Complex { re: 0.08000000000000007, im: -0.97 }] iterations: 7 | acc: 1934.4908578223508 | ?: false
[Complex { re: 0.10000000000000009, im: -0.97 }] iterations: 7 | acc: 9237.400838556938 | ?: false
[Complex { re: 0.1200000000000001, im: -0.97 }] iterations: 6 | acc: 89.32876018362667 | ?: false
[Complex { re: 0.1399999999999999, im: -0.97 }] iterations: 6 | acc: 235.36807306718777 | ?: false
[Complex { re: 0.15999999999999992, im: -0.97 }] iterations: 6 | acc: 386.49551769289104 | ?: false
[Complex { re: 0.17999999999999994, im: -0.97 }] iterations: 6 | acc: 235.3334100884335 | ?: false
[Complex { re: 0.19999999999999996, im: -0.97 }] iterations: 6 | acc: 869.0255559670377 | ?: false
[Complex { re: 0.21999999999999997, im: -0.97 }] iterations: 6 | acc: 3469.8928925551622 | ?: false
[Complex { re: 0.24, im: -0.97 }] iterations: 6 | acc: 6959.574474279215 | ?: false
[Complex { re: 0.26, im: -0.97 }] iterations: 6 | acc: 7348.054170544514 | ?: false
[Complex { re: 0.28, im: -0.97 }] iterations: 6 | acc: 4329.167233121778 | ?: false
[Complex { re: 0.30000000000000004, im: -0.97 }] iterations: 5 | acc: 103.85113516845016 | ?: false
[Complex { re: 0.32000000000000006, im: -0.97 }] iterations: 5 | acc: 149.843070818476 | ?: false
[Complex { re: 0.3400000000000001, im: -0.97 }] iterations: 5 | acc: 189.23521782281142 | ?: false
[Complex { re: 0.3600000000000001, im: -0.97 }] iterations: 5 | acc: 204.17844645386393 | ?: false
[Complex { re: 0.3799999999999999, im: -0.97 }] iterations: 5 | acc: 166.252041749213 | ?: false
[Complex { re: 0.3999999999999999, im: -0.97 }] iterations: 6 | acc: 1159112.9441716964 | ?: false
